drug, smile
Cyclosporine, CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Verapamil, CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
Lapatinib, CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
N-desmethyldiazepam, C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3
Lignocaine, CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
Buspirone, C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
ERGAMISOL, C1CSC2=N[C@H](CN21)C3=CC=CC=C3.Cl
Netilmicin, CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N
ERGOMAR, C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C
Astemizole, COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
Myochrysine, [Au+]
Methsuximide, CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
Neurontin, C1CCC(CC1)(CC(=O)O)CN
MHD, CN1C=C(C2=CC=CC=C21)O
SULAR, CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
Proquin XR, C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.O.Cl
Salicylic acid, C1=CC=C(C(=C1)C(=O)O)O
Peganone, CCN1C(=O)C(NC1=O)C2=CC=CC=C2
Clofibrate, CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
6-thiouric acid, C12=C(NC(=O)N1)NC(=O)NC2=S
Sulfur, [S]
Mexate, CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
Prednisolone, C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
Disopyramide phosphate, CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C.OP(=O)(O)O
Butorphanol, C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O
Doxorubicin HCl, C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
Streptomycin, C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
Salbutamol, CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
EMCYT, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)([O-])[O-])CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl.[Na+].[Na+]
Orphenadrine, CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
Everolimus, C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC
FROVA, CN[C@@H]1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N
Caverject, CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
Aldomet, C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N
Opioids, CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O
ZINECARD, C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
Flurbiprofen, CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
TRISENOX, [O-2].[O-2].[O-2].[As+3].[As+3]
Nitroglycerin, C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
Ergonovine, C[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
Corticotropin, C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]7CCCN7C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC8=CNC9=CC=CC=C98)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CO)N
Cytosine arabinoside, C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O
Chlorthalidone, C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
Phenobarbital sodium, CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.[Na+]
MONUROL, C[C@H]1[C@H](O1)P(=O)(O)[O-].C(C(CO)(CO)[NH3+])O
Spermine, C(CCNCCCN)CNCCCN
Para-aminobenzoic acid, C1=CC(=CC=C1C(=O)O)N
6-MP, C1=NC2=C(N1)C(=S)N=CN2
Nizatidine, CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C
Opioid analgesics, CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O
ENABLEX, C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5.Br
Dapsone hydroxylamine, C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)NO
Ticlopidine, C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
Erlotinib, COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
Nateglinide, CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O
DIGOXIN, C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
Lamprene, CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
Vancomycin, C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
Clonazepam, C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
IOPIDINE, C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl.Cl
Sodium thiosulfate, [O-]S(=O)(=S)[O-].[Na+].[Na+]
Azlocillin, CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C
Lymecycline, C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCNCCCC[C@@H](C(=O)O)N)N(C)C)O
Chlorpropamide, CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
Pyrilamine, CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2
CELEBREX, CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Lorazepam, C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
Penicillin V, CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C
Delavirdine, CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C
Rifamycin, C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C
Heparin, CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
Sodium cephalothin, CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)[O-].[Na+]
RESIN, C[C@H]1CC[C@H]2[C@H](C2(C)C)C3=C(CCC13)C
Vecuronium, CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C
Norgestrel, CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
Trexan, C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O.Cl
COLAZAL, C1=CC(=CC=C1C(=O)NCCC(=O)[O-])N=NC2=CC(=C(C=C2)[O-])C(=O)O.O.O.[Na+].[Na+]
SINEQUAN, CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31
Edetate calcium disodium, C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2]
VIRACEPT, CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
BREVIBLOC, CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl
Folic acid, C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
TORADOL, C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O.C(C(CO)(CO)N)O
Sparine, CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl
Mercaptopurine, C1=NC2=C(N1)C(=S)N=CN2
Mephenytoin, CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
Benzothiazepine, C1=CC=C2C(=C1)C=CC=NS2
ZYVOX, CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F
D-amphetamine, C[C@@H](CC1=CC=CC=C1)N
Mechlorethamine, CN(CCCl)CCCl
D-penicillamine, CC(C)([C@H](C(=O)O)N)S
Sildenafil, CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
Hexobarbital, CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
Pyridoxine, CC1=NC=C(C(=C1O)CO)CO
Metronidazole, CC1=NC=C(N1CCO)[N+](=O)[O-]
Buspirone hydrochloride, C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4.Cl
Palytoxin, C[C@H]1C[C@@]2([C@H](O[C@](C1)(O2)CCCCCCC[C@@H](C[C@@H]3[C@@H]([C@H]([C@H]([C@@](O3)(C[C@@H]([C@@H](C)/C=C/[C@H](CC[C@H]([C@H]([C@@H]4C[C@H]([C@@H]([C@H](O4)C[C@H]([C@@H](C[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)C[C@@H](/C=C\C=C\C[C@H]([C@@H]([C@@H](C/C=C\C(=C)CC[C@@H]([C@H]([C@@H]([C@H](C)C[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)/C=C\[C@H]([C@@H](C[C@@H]7C[C@@H]8C[C@H](O7)[C@H](O8)CC[C@@H]9[C@@H](C[C@H](O9)CN)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)C[C@@H](C)CCCCC[C@H]([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)C[C@@H]([C@@H](/C(=C/[C@@H](C[C@@H](C)[C@@H](C(=O)N/C=C/C(=O)NCCCO)O)O)/C)O)O)O)O)O)O)O)O)O)O)C
Succinylcholine, C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
Fluoxetine, CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
Mentax, CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32.Cl
FLUOTHANE, C(C(F)(F)F)(Cl)Br
LEXAPRO, CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.C(=O)(C(=O)O)O
Atropine sulfate, CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O
Gentamicin, CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
Depakote, CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
Piperacillin sodium, CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+]
Estrogens, C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)[O-])[C@@H]1CCC2=O.[Na+]
Nicotinamide, C1=CC(=CN=C1)C(=O)N
Griseofulvin, C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
Nabilone, CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=O)CC[C@H]3C(OC2=C1)(C)C)O
Methdilazine, CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42
Depakene, CCCC(CCC)C(=O)O
Exjade, C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
Advil, CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
VASOTEC, CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O.C(=C\C(=O)O)\C(=O)O
Lisinopril, C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O
Gemfibrozil, CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
Sodium perchlorate, [O-]Cl(=O)(=O)=O.[Na+]
Vesprin, CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F
ACZONE, C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
Vardenafil, CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
Pyrimethamine, CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
Diazepam, CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
Penciclovir, C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N
Calcium, [Ca]
Ergotamine, C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C
Timolol, CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O
DHA, C1[C@H]([C@H]([C@H](OC1(C(=O)O)O)C(=O)O)O)O
ETOPOPHOS, C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)OP(=O)(O)O)OC)O)O
Valium, CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
Potassium, [K]
Cefmenoxime, CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O
Methysergide, CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
N-dodecyl gallate, CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O
Desmethylastemizole, C1CN(CCC1NC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)CCC5=CC=C(C=C5)O
Sevoflurane, C(OC(C(F)(F)F)C(F)(F)F)F
Sodium iodide I131, [Na+].[131I-]
Flupenthixol, C1CN(CCN1CC/C=C/2\C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
Verografin, CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.CC(=O)NC1=C(C(=C(C(=C1I)C(=O)[O-])I)NC(=O)C)I.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.[Na+]
Ibutilide, CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
Fluvoxamine, COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F
18-MC, COCC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC
Triclofos sodium, C(C(Cl)(Cl)Cl)OP(=O)(O)[O-].[Na+]
Lanoxicaps, C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
Furadantin, C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
Etoposide, C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Digitoxin, C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O
Verapamil hydrochloride, CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl
Dihydropyridine, C1C=CC=CN1
Angiotensin-converting enzyme inhibitor, CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@@H]7CCC(=O)N7
Norfloxacin, CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Synkayvite, CC1=C(C2=CC=CC=C2C(=C1)OP(=O)([O-])[O-])OP(=O)([O-])[O-].O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+]
SMX, CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
Theophylline, CN1C2=C(C(=O)N(C1=O)C)NC=N2
Levobupivacaine, CCCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C
Hydrodolasetron, C1C2CC3CC(CC1N3CC2O)OC(=O)C4=CNC5=CC=CC=C54
Escitalopram, CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
Norethindrone acetate, CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C
Nilutamide, CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
6-deoxy penciclovir, C1=C2C(=NC(=N1)N)N(C=N2)CCC(CO)CO
Quinolones, C1=CC=C2C(=C1)C=CC(=O)N2
Ceftazidime, CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
Thalidomide, C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
Nicotinic Acid, C1=CC(=CN=C1)C(=O)O
INSPRA, C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC
Quinidine, COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
Diphenoxylate, CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4
Selegiline, C[C@H](CC1=CC=CC=C1)N(C)CC#C
(R)-warfarin, CC(=O)C[C@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
Nalidixic acid, CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
WelChol, CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.C=CCN.C1C(O1)CCl.Cl.[Cl-]
SCH-23390, CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl
Phenyltoloxamine, CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2
Acenocoumarol, CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
Entecavir, C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2N=C(NC3=O)N
Auranofin, CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
Fosinoprilat, C1CCC(CC1)[C@@H]2C[C@H](N(C2)C(=O)CP(=O)(CCCCC3=CC=CC=C3)O)C(=O)O
Benzodiazepine, C1=CC=C2C(=C1)C=CC=NN2
Cyclosporine A, CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Mesantoin, CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
Testosterone, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
Alprazolam, CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
Nelfinavir, CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
Vitamin A, CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
Oxygen, O=O
Noradrenaline, C1=CC(=C(C=C1[C@H](CN)O)O)O
3-hydroxydesloratadine, C1CC2=C(C(=C3CCNCC3)C4=C1C=C(C=C4)Cl)N=CC(=C2)O
Nimodipine, CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
Aspirin, CC(=O)OC1=CC=CC=C1C(=O)O
Anavar, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C
Fluoxetine hydrochloride, CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl
Isosorbide dinitrate, C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-]
Aluminum, [Al]
Foscarnet, C(=O)(O)P(=O)(O)O
Nitrates, [N+](=O)([O-])[O-]
Fortovase, CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
